Team,ATS Record,Cover %,MOV,ATS +/-
Philadelphia,49-33-0,59.80%,-5.7,1.9
Miami,48-33-1,59.30%,1.1,2.4
Denver,46-36-0,56.10%,0.5,1
Okla City,47-39-1,54.60%,0.2,-0.9
Golden State,52-45-2,53.60%,12,1.2
Dallas,43-38-1,53.10%,-2.9,0.5
Toronto,47-42-3,52.80%,3.1,0.1
Sacramento,42-38-2,52.50%,-3.9,0.5
Boston,51-47-2,52.00%,1.6,-0.9
Brooklyn,41-38-3,51.90%,-6.7,0.7
Houston,48-45-0,51.60%,5.2,0.6
New York,42-40-0,51.20%,-3.7,-0.3
San Antonio,49-47-2,51.00%,6.2,0.2
Washington,47-47-1,50.00%,1.6,0.6
Chicago,44-44-0,50.00%,0,0.7
Phoenix,40-41-1,49.40%,-5.6,-0.4
Memphis,43-45-0,48.90%,-0.1,0.6
Utah,43-46-4,48.30%,2.9,0.9
Cleveland,46-50-4,47.90%,4,-1
Atlanta,42-46-0,47.70%,-0.9,-1.8
LA Clippers,42-46-1,47.70%,3.9,-0.2
Indiana,41-45-0,47.70%,-0.4,-0.2
Portland,41-45-0,47.70%,-1.3,-0.9
New Orleans,38-42-2,47.50%,-2.1,0.5
Detroit,38-43-1,46.90%,-1.1,-1.5
LA Lakers,37-43-2,46.20%,-6.9,-0.8
Minnesota,37-45-0,45.10%,-1.1,-0.1
Milwaukee,39-49-0,44.30%,-0.2,0.2
Charlotte,35-44-3,44.30%,0.2,-0.9
Orlando,32-48-2,40.00%,-6.6,-2.8