Team,Win-Loss Record,Win %,MOV,ATS +/-
Golden State,16-1-0,94.10%,13.5,4.2
Cleveland,13-5-0,72.20%,7.9,4.5
Houston,6-5-0,54.50%,1.2,-0.7
Washington,7-6-0,53.80%,0,-0.5
Boston,9-9-0,50.00%,-2.9,-1.9
San Antonio,8-8-0,50.00%,1,1.1
LA Clippers,3-4-0,42.90%,-1.1,-2.9
Toronto,4-6-0,40.00%,-5.7,-5
Utah,4-7-0,36.40%,-4.7,0.2
Chicago,2-4-0,33.30%,-6.8,-2.2
Atlanta,2-4-0,33.30%,-1.2,0.2
Memphis,2-4-0,33.30%,-8.3,-1.1
Milwaukee,2-4-0,33.30%,-0.7,2.1
Okla City,1-4-0,20.00%,-8.6,-4.8
Portland,0-4-0,0.00%,-18,-8
Indiana,0-4-0,0.00%,-4,1.8