Team,Win-Loss Record,Win %,MOV,ATS
Golden State,83-16-0,83.80%,12,1.2
San Antonio,69-29-0,70.40%,6.2,0.2
Houston,61-32-0,65.60%,5.2,0.6
Cleveland,64-36-0,64.00%,4,-1
Boston,62-38-0,62.00%,1.6,-0.9
LA Clippers,54-35-0,60.70%,3.9,-0.2
Toronto,55-37-0,59.80%,3.1,0.1
Washington,56-39-0,59.00%,1.6,0.6
Utah,54-39-0,58.10%,2.9,0.9
Okla City,48-39-0,55.20%,0.2,-0.9
Atlanta,45-43-0,51.10%,-0.9,-1.8
Memphis,45-43-0,51.10%,-0.1,0.6
Miami,41-41-0,50.00%,1.1,2.4
Milwaukee,44-44-0,50.00%,-0.2,0.2
Chicago,43-45-0,48.90%,0,0.7
Indiana,42-44-0,48.80%,-0.4,-0.2
Denver,40-42-0,48.80%,0.5,1
Portland,41-45-0,47.70%,-1.3,-0.9
Detroit,37-45-0,45.10%,-1.1,-1.5
Charlotte,36-46-0,43.90%,0.2,-0.9
New Orleans,34-48-0,41.50%,-2.1,0.5
Dallas,33-49-0,40.20%,-2.9,0.5
Sacramento,33-49-0,40.20%,-3.9,0.5
Minnesota,31-51-0,37.80%,-1.1,-0.1
New York,31-51-0,37.80%,-3.7,-0.3
Orlando,29-53-0,35.40%,-6.6,-2.8
Philadelphia,28-54-0,34.20%,-5.7,1.9
LA Lakers,26-56-0,31.70%,-6.9,-0.8
Phoenix,24-58-0,29.30%,-5.6,-0.4
Brooklyn,20-62-0,24.40%,-6.7,0.7